District,Teachers,2013-14,2017-18,2018-19
Janesville Union Elementary (Lassen),17,64584,73387,71864
Shaffer Union Elementary (Lassen),9,71938,67072,67914
Lassen County Office of Ed. (Lassen),19,55076,66203,66203
Susanville Elementary (Lassen),55,61667,60106,61399
Richmond Elementary (Lassen),9,0,null,60798
Westwood Unified (Lassen),11,0,53398,57353
Johnstonville Elementary (Lassen),9,53794,54095,56788
Big Valley Joint Unified (Lassen),10,44147,51480,55205
Ravendale Elementary (Lassen),1,0,50676,52196
Valle Lindo Elementary (Los Angeles),51,0,null,103682
Arcadia Unified (Los Angeles),420,86343,96806,100048
Whittier Union High (Los Angeles),508,81985,93678,97882
Mountain View Elementary (Los Angeles),331,90907,94271,97079
Montebello Unified (Los Angeles),1061,80595,92156,97044
Downey Unified (Los Angeles),1043,82765,94444,97043
Beverly Hills Unified (Los Angeles),244,77311,91600,96651
Long Beach Unified (Los Angeles),3302,81046,92033,94044
Baldwin Park Unified (Los Angeles),615,0,93995,93976
Rosemead Elementary (Los Angeles),125,80079,91009,93230
Norwalk-La Mirada Unified (Los Angeles),822,76984,88239,92057
El Monte City Elementary (Los Angeles),417,77876,88613,91914
Lawndale Elementary (Los Angeles),298,77666,88914,91826
Lennox Elementary (Los Angeles),272,79902,90391,90892
Hacienda La Puente Unified (Los Angeles),898,72680,85985,89841
Manhattan Beach Unified (Los Angeles),299,75424,86968,89618
Paramount Unified (Los Angeles),761,75970,86611,89306
Charter Oak Unified (Los Angeles),199,78072,86798,89257
El Monte Union High (Los Angeles),322,72880,87588,88746
Covina-Valley Unified (Los Angeles),558,78739,86785,88603
Glendora Unified (Los Angeles),364,78139,88137,88602
La Canada Unified (Los Angeles),192,73551,85538,88346
Rowland Unified (Los Angeles),650,71696,87681,87873
East Whittier City Elementary (Los Angeles),367,73929,85025,87617
Alhambra Unified (Los Angeles),845,72586,85364,87578
Redondo Beach Unified (Los Angeles),475,72814,84193,87394
Azusa Unified (Los Angeles),425,74761,84887,87388
Temple City Unified (Los Angeles),253,73975,82908,87228
Palos Verdes Peninsula Unified (Los Angeles),492,72674,83508,86996
Wiseburn Unified (Los Angeles),121,null,85478,86889
South Pasadena Unified (Los Angeles),214,76740,84070,86729
Lowell Joint Elementary (Los Angeles),136,78806,85119,86507
Bonita Unified (Los Angeles),434,73404,83872,86504
Hermosa Beach City Elementary (Los Angeles),56,72688,null,86462
Garvey Elementary (Los Angeles),251,76775,85086,85197
San Marino Unified (Los Angeles),162,75187,83198,85167
El Segundo Unified (Los Angeles),172,71399,82856,84830
Abc Unified (Los Angeles),923,76197,82836,84747
Glendale Unified (Los Angeles),1122,73818,84419,84524
Claremont Unified (Los Angeles),266,73826,83381,84319
South Whittier Elementary (Los Angeles),131,72851,82569,84220
Walnut Valley Unified (Los Angeles),614,75800,81644,83974
Santa Monica-Malibu Unified (Los Angeles),604,76471,82621,83374
Compton Unified (Los Angeles),1048,72229,82586,83364
Hawthorne Elementary (Los Angeles),433,72988,81882,82869
Bellflower Unified (Los Angeles),545,72539,82468,82831
Palmdale Elementary (Los Angeles),809,67409,81835,82826
Saugus Union Elementary (Los Angeles),445,77938,81332,82592
Antelope Valley Union High (Los Angeles),986,69481,81125,82528
Las Virgenes Unified (Los Angeles),560,69512,79653,82404
Culver City Unified (Los Angeles),347,68710,82239,82358
Bassett Unified (Los Angeles),149,73767,81404,82204
Lynwood Unified (Los Angeles),664,68194,79588,82065
Lancaster Elementary (Los Angeles),653,70969,82064,81631
Pomona Unified (Los Angeles),1214,76767,81287,81620
El Rancho Unified (Los Angeles),397,69720,80688,81373
Burbank Unified (Los Angeles),713,72762,78896,81259
Whittier City Elementary (Los Angeles),233,70286,79117,81174
Duarte Unified (Los Angeles),179,70605,75872,81152
Eastside Elementary (Los Angeles),168,70800,78497,81028
Torrance Unified (Los Angeles),1029,73119,79863,80717
West Covina Unified (Los Angeles),440,70575,77818,80671
San Gabriel Unified (Los Angeles),250,69390,77895,80428
William S. Hart Union High (Los Angeles),943,72381,78855,80182
Centinela Valley High (Los Angeles),311,0,77364,79316
Little Lake City Elementary (Los Angeles),222,71193,77084,79301
Monrovia Unified (Los Angeles),264,73948,78403,79117
Westside Union Elementary (Los Angeles),422,75079,77864,78979
Los Angeles Unified (Los Angeles),23670,68881,74789,78962
Wilsona Elementary (Los Angeles),64,64945,77966,77696
Sulphur Springs Un Elementary (Los Angeles),241,71674,75564,76145
Newhall Elementary (Los Angeles),320,69039,74700,75918
Inglewood Unified (Los Angeles),430,68075,74195,73123
Pasadena Unified (Los Angeles),841,70542,73519,72871
Castaic Union Elementary (Los Angeles),95,71595,69300,69430
Chowchilla Elementary (Madera),108,59454,73946,77192
Madera Unified (Madera),1047,63186,74582,75518
Chowchilla Union High (Madera),53,58746,66928,67836
Yosemite Unified (Madera),74,65167,65298,67763
Madera County Office of Ed. (Madera),109,62980,65810,67183
Golden Valley Unified (Madera),98,58373,63333,65410
Alview-Dairyland Un Elementary (Madera),18,54579,63842,64291
Bass Lake Elementary (Madera),44,56184,60765,64019
Chawanakee Joint Unified (Madera),68,53642,null,55441
Tamalpais Union High (Marin),306,91803,100859,102469
San Rafael City High (Marin),110,0,99654,100514
Marin County Office of Ed. (Marin),55,0,90756,92782
Mill Valley Elementary (Marin),180,79273,87131,91128
Reed Union Elementary (Marin),85,80030,91405,90107
Larkspur-Corte Madera Elem. (Marin),90,77790,86450,89157
Shoreline Unified (Marin),47,79806,85157,87808
Kentfield Elementary (Marin),82,79212,85633,87266
Ross Elementary (Marin),33,77112,85407,87215
San Rafael City Elementary (Marin),173,0,78604,85468
Sausalito-Marin City Elementary (Marin),10,72292,80127,85458
Dixie Elementary (Marin),108,75692,84135,84685
Lagunitas Elementary (Marin),12,0,81905,79957
Novato Unified (Marin),383,66164,76517,79435
Ross Valley Elementary (Marin),116,69044,74413,74843
Mariposa County Unified (Mariposa),100,59295,62852,62676
Mendocino County Office of Ed. (Mendocino),19,58317,67747,69626
Ukiah Unified (Mendocino),341,62644,65139,67505
Round Valley Unified (Mendocino),31,54760,54662,58578
Willits Unified (Mendocino),96,53718,56792,58289
Point Arena School Districts (Mendocino),29,53994,57358,57730
Fort Bragg Unified (Mendocino),108,51539,56284,57388
Laytonville Unified (Mendocino),27,54635,57272,57167
Anderson Valley Unified (Mendocino),30,53576,55948,55948
Leggett Valley Unified (Mendocino),12,48475,51449,54304
Potter Valley Community Unified (Mendocino),18,48446,54458,52437
Merced City Elementary (Merced),501,76080,90216,92744
Weaver Union Elementary (Merced),154,72223,null,88496
Delhi Unified (Merced),127,71477,81733,85336
Los Banos Unified (Merced),488,68494,null,84937
Livingston Union Elementary (Merced),119,73644,80923,83522
Merced Union High (Merced),582,66901,77330,79619
Winton Elementary (Merced),95,67561,76938,79240
Atwater Elementary (Merced),237,71175,78946,78647
Hilmar Unified (Merced),124,65696,74626,77734
Planada Elementary (Merced),43,66647,73418,76139
Dos Palos-Oro Loma Jt Unified (Merced),118,64910,71218,76099
Mcswain Union Elementary (Merced),50,65010,73384,72883
Le Grand Union Elementary (Merced),19,59988,73959,71902
Merced County Office of Ed. (Merced),148,61313,66671,71430
Le Grand Union High (Merced),24,62446,null,67893
El Nido Elementary (Merced),9,51023,64579,67847
Ballico-Cressey Elementary (Merced),25,54788,56790,57363
Merced River Union Elementary (Merced),10,54582,55362,56568
Plainsburg Union Elementary (Merced),5,37219,48779,49256
Tulelake Basin Joint Unified (Modoc),26,67413,72507,74614
Modoc Joint Unified (Modoc),49,52601,56057,57806
Modoc County Office of Ed. (Modoc),11,61226,52895,55205
Surprise Valley Joint Unified (Modoc),8,44465,46550,47689
Mammoth Unified (Mono),66,66662,72604,75293
Eastern Sierra Unified (Mono),37,0,67253,70181
Carmel Unified (Monterey),175,93279,110289,111761
Pacific Grove Unified (Monterey),136,79702,97069,101545
South Monterey Jt Union High (Monterey),112,72513,80935,83907
Salinas Union High (Monterey),829,68981,79597,79950
Monterey County Office of Ed. (Monterey),116,70249,75091,77759
Gonzales Unified (Monterey),115,65507,76161,77698
North Monterey County Unified (Monterey),176,62031,73512,77557
Alisal Union Elementary (Monterey),394,66202,72451,74617
Salinas City Elementary (Monterey),460,63575,70719,73054
Greenfield Union Elementary (Monterey),164,54884,null,72299
